名称,指定者,声明,NOTE,类/接口,抛出,
getHeapMemoryUsage,,MemoryUsage getHeapMemoryUsage(),"返回用于对象分配的堆的当前内存使用量。堆由一个或多个内存池组成。返回的内存使用量中的已使用大小和已提交大小为所有堆内存池的对应值的总和，而返回的内存使用量中表示堆内存设置的初始大小和最大大小则可能不等于所有堆内存池对应值的总和。 
返回的内存使用量中已使用内存量为活动对象和尚未回收的垃圾对象（如果有）所占用内存的总量。 

MBeanServer 访问：
MemoryUsage 的映射类型为 CompositeData，具有 MemoryUsage 中指定的那些属性。",MemoryMXBean,,
getNonHeapMemoryUsage,,MemoryUsage getNonHeapMemoryUsage(),"返回 Java 虚拟机使用的非堆内存的当前使用量。非堆内存由一个或多个内存池组成。返回的内存使用量中的已使用大小和已提交大小为所有非堆内存池的对应值的总和，而返回的内存使用量中表示非堆内存设置的初始大小和最大大小则可能不等于所有非堆内存池对应值的总和。 
MBeanServer 访问：
MemoryUsage 的映射类型为 CompositeData，具有 MemoryUsage 中指定的那些属性。",MemoryMXBean,,
isVerbose,,boolean isVerbose(),测试内存系统的 verbose 输出是否已启用。 ,MemoryMXBean,,
setVerbose,,void setVerbose(boolean value),"启用或禁用内存系统的 verbose 输出。verbose 输出信息和 verbose 信息发送到的输出流都与实现有关。通常，只要垃圾回收时释放了内存，Java 虚拟机实现就会输出一条消息。 
此方法的每次调用都会全局启用或禁用 verbose 输出。",MemoryMXBean,"SecurityException - 如果存在安全管理器，且调用方不具有 ManagementPermission(""control"")。",
gc,,void gc(),"运行垃圾回收器。调用 gc() 实际上等同于调用： 
 System.gc()",MemoryMXBean,,
MemoryNotificationInfo,,"public MemoryNotificationInfo(String poolName,MemoryUsage usage,long count)",构造一个 MemoryNotificationInfo 对象。,MemoryNotificationInfo,,
getPoolName,,public String getPoolName(),返回触发此通知的内存池的名称。内存池使用量已经超过阈值。,MemoryNotificationInfo,,
getUsage,,public MemoryUsage getUsage(),返回构造此通知时内存池的内存使用量。 ,MemoryNotificationInfo,,
getCount,,public long getCount(),返回构造通知时内存使用量超过阈值的次数。对于使用量阈值通知，此计数将为阈值计数。对于集合使用量阈值通知，此计数将为集合使用量阈值计数。 ,MemoryNotificationInfo,,
from,,public static MemoryNotificationInfo from(javax.management.openmbean.CompositeData cd),"返回由给定 CompositeData 表示的 MemoryNotificationInfo 对象。此给定的 CompositeData 必须包含以下属性： 
属性名称  类型 
poolName  java.lang.String 
usage     javax.management.openmbean.CompositeData 
count     java.lang.Long 
",MemoryNotificationInfo,IllegalArgumentException - 如果 cd 不表示 MemoryNotificationInfo 对象。,
getName,,String getName(),返回表示此内存池的名称。 ,MemoryPoolMXBean,,
getType,,MemoryType getType(),"返回此内存池的类型。 
MBeanServer 访问：
MemoryType 的映射类型为 String，值为 MemoryType 的名称。",MemoryPoolMXBean,,
getUsage,,MemoryUsage getUsage(),"返回此内存池的内存使用量的估计数。如果此内存池无效（即不再存在），此方法将返回 null。 
此方法请求 Java 虚拟机对此内存池的当前内存使用量进行最佳估算。对于某些内存池，此方法可能是开销很大的操作，需要进行计算以确定估计数。如果是这种情况，实现应该加以注释。 

此方法设计用于监视系统内存使用量和检测低内存情况。 

MBeanServer 访问：
MemoryUsage 的映射类型为 CompositeData，具有 MemoryUsage 中指定的那些属性。",MemoryPoolMXBean,,
getPeakUsage,,MemoryUsage getPeakUsage(),"返回自 Java 虚拟机启动以来或自峰值重置以来此内存池的峰值内存使用量。如果此内存池无效（即不再存在），此方法将返回 null。 
MBeanServer 访问：
MemoryUsage 的映射类型为 CompositeData，具有 MemoryUsage 中指定的那些属性。",MemoryPoolMXBean,,
resetPeakUsage,,void resetPeakUsage(),将此内存池的峰值内存使用量统计重置为当前内存使用量。 ,MemoryPoolMXBean,"SecurityException - 如果存在安全管理器，且调用方不具有 ManagementPermission(""control"")。",
isValid,,boolean isValid(),测试此内存池在 Java 虚拟机中是否有效。一旦 Java 虚拟机将内存池从内存系统删除，该内存池就变为无效。,MemoryPoolMXBean,,
getMemoryManagerNames,,String[] getMemoryManagerNames(),返回管理此内存池的内存管理器的名称。每个内存池将由至少一个内存管理器进行管理。,MemoryPoolMXBean,,
getUsageThreshold,,long getUsageThreshold(),返回此内存池的使用量阈值（以字节为单位）。每个内存池都具有一个与平台有关的默认阈值。可以通过 setUsageThreshold 方法更改当前的使用量阈值。,MemoryPoolMXBean,UnsupportedOperationException - 如果此内存池不支持使用量阈值。,
setUsageThreshold,,void setUsageThreshold(long threshold),如果此内存池支持使用量阈值，则将此内存池的阈值设置为给定的 threshold 值。如果阈值设置为正数，将启用此内存池中的使用量阈值超过检查。如果设置为零，则将禁用使用量阈值超过检查。 ,MemoryPoolMXBean,"IllegalArgumentException - 如果 threshold 为负或大于此内存池的最大内存量（如果已定义）。 
UnsupportedOperationException - 如果此内存池不支持使用量阈值。 
SecurityException - 如果存在安全管理器，且调用方不具有 ManagementPermission(""control"")。",
isUsageThresholdExceeded,,boolean isUsageThresholdExceeded(),测试此内存池的使用量是否达到或超过其使用量阈值。 ,MemoryPoolMXBean,UnsupportedOperationException - 如果此内存池不支持使用量阈值。,
getUsageThresholdCount,,long getUsageThresholdCount(),返回内存使用量超过其阈值的次数。 ,MemoryPoolMXBean,UnsupportedOperationException - 如果此内存池不支持使用量阈值。,
isUsageThresholdSupported,,boolean isUsageThresholdSupported(),测试此内存池是否支持使用量阈值。 ,MemoryPoolMXBean,,
getCollectionUsageThreshold,,long getCollectionUsageThreshold(),返回此内存池的回收使用量阈值（以字节为单位）。默认值为零。可以通过 setCollectionUsageThreshold 方法更改回收使用量阈值。,MemoryPoolMXBean,UnsupportedOperationException - 如果此内存池不支持回收使用量阈值。,
setCollectionUsageThreshold,,void setCollectionUsageThreshold(long threhsold),"将此内存池的回收使用量阈值设置为给定的 threshold 值。当此阈值设置为正数时，Java 虚拟机将在对此内存池中不使用的对象进行了回收工作后，在最恰当的时间检查内存使用量。 
如果阈值设置为正数，将启用此内存池中的回收使用量阈值超过检查。如果设置为零，则将禁用回收使用量阈值超过检查。",MemoryPoolMXBean,"IllegalArgumentException - 如果 threshold 为负或大于此内存池的最大内存量（如果已定义）。 
UnsupportedOperationException - 如果此内存池不支持回收使用量阈值。 
SecurityException - 如果存在安全管理器，且调用方不具有 ManagementPermission(""control"")。",
isCollectionUsageThresholdExceeded,,boolean isCollectionUsageThresholdExceeded(),测试在 Java 虚拟机最近一次回收工作之后，此内存池的内存使用量是否达到或超过了其回收使用量阈值。此方法不会请求 Java 虚拟机执行其正常自动内存管理之外的任何垃圾回收操作。 ,MemoryPoolMXBean,UnsupportedOperationException - 如果此内存池不支持使用量阈值。,
getCollectionUsageThresholdCount,,long getCollectionUsageThresholdCount(),返回 Java 虚拟机已检测到内存使用量达到或超过回收使用量阈值的次数。 ,MemoryPoolMXBean,UnsupportedOperationException - 如果此内存池不支持回收使用量阈值。,
getCollectionUsage,,MemoryUsage getCollectionUsage(),"返回 Java 虚拟机最近回收了此内存池中的不使用的对象之后的内存使用量。此方法不会请求 Java 虚拟机执行其正常的自动内存管理之外的任何垃圾回收操作。如果 Java 虚拟机不支持此方法，此方法将返回 null。 
MBeanServer 访问：
MemoryUsage 的映射类型为 CompositeData，具有 MemoryUsage 中指定的那些属性。",MemoryPoolMXBean,,
isCollectionUsageThresholdSupported,,boolean isCollectionUsageThresholdSupported(),测试此内存池是否支持回收使用量阈值。,MemoryPoolMXBean,,
values,,public static final MemoryType[] values(),"按照声明该枚举类型的常量的顺序，返回包含这些常量的数组。该方法可用于迭代常量，如下所示： 
for(MemoryType c :MemoryType.values())
        System.out.println(c);",MemoryType ,,
valueOf,,public static MemoryType valueOf(String name),返回带有指定名称的该类型的枚举常量。字符串必须与用于声明该类型的枚举常量的标识符完全匹配。（不允许有多余的空格。）,MemoryType ,"如果该枚举类型没有带有指定名称的常量， - 则抛出 IllegalArgumentException
",
toString,,public String toString(),"返回该 MemoryType 的字符串表示形式。 

覆盖：
类 Enum<MemoryType> 中的 toString",MemoryType ,,
MemoryUsage,,"public MemoryUsage(long init,long used,long committed,long max)",构造一个 MemoryUsage 对象。 ,MemoryUsage,"IllegalArgumentException - 如果 
·init 或 max 的值为负数，但不是 -1；或者 
·used 或 committed 的值为负数；或者 
·used 大于 committed 的值；或者 
·committed 大于 max 的值（如果 max 已定义）。 ",
getInit,,public long getInit(),返回 Java 虚拟机最初从操作系统请求用于内存管理的内存量（以字节为单位）。如果没有定义初始内存大小，此方法将返回 -1。,MemoryUsage,,
getUsed,,public long getUsed(),返回已使用的内存量（以字节为单位）。 ,MemoryUsage,,
getCommitted,,public long getCommitted(),返回已提交给 Java 虚拟机使用的内存量（以字节为单位）。此内存量保证可供 Java 虚拟机使用。 ,MemoryUsage,,
getMax,,public long getMax(),"返回可以用于内存管理的最大内存量（以字节为单位）。如果没有定义最大内存大小，此方法将返回 -1。 
如果此内存量大于已提交的内存量，则不能保证内存管理能够使用此内存量。即使已使用的内存量没有超过这个最大大小，Java 虚拟机也可能会无法分配内存。",MemoryUsage,,
toString,,public String toString(),"返回此内存使用量的描述性表示形式。 

覆盖：
类 Object 中的 toString ",MemoryUsage,,
from,,public static MemoryUsage from(javax.management.openmbean.CompositeData cd),"返回由给定 CompositeData 表示的 MemoryUsage 对象。给定的 CompositeData 必须包含以下属性： 

属性名称   类型 
init       java.lang.Long 
used       java.lang.Long 
committed  java.lang.Long 
max        java.lang.Long ",MemoryUsage,IllegalArgumentException - 如果 cd 不表示具有上述属性的 MemoryUsage。,
getDeclaringClass,Member,public Class<?> getDeclaringClass(),返回表示声明由此 Method 对象表示的方法的类或接口的 Class 对象。 ,Method,,
getName,Member,public String getName(),以 String 形式返回此 Method 对象表示的方法名称。 ,Method,,
getModifiers,Member,public int getModifiers(),以整数形式返回此 Method 对象所表示方法的 Java 语言修饰符。应该使用 Modifier 类对修饰符进行解码。 ,Method,,
getTypeParameters,GenericDeclaration,public TypeVariable<Method>[] getTypeParameters(),"返回 TypeVariable 对象的数组，这些对象描述了由 GenericDeclaration 对象表示的一般声明按声明顺序来声明的类型变量。如果基本一般声明没有声明类型变量，则返回长度为 0 的数组。

从以下版本开始： 
1.5",Method,"GenericSignatureFormatError - 如果此一般声明的一般签名不符合 Java Virtual Machine Specification, 3rd edition 中指定的格式",
getReturnType,,public Class<?> getReturnType(),返回一个 Class 对象，该对象描述了此 Method 对象所表示的方法的正式返回类型。 ,Method,,
getGenericReturnType,,public Type getGenericReturnType(),"返回表示由此 Method 对象所表示方法的正式返回类型的 Type 对象。 
如果返回类型是参数化类型，则返回的 Type 对象必须实际反映源代码中所用参数的实际类型。 

如果返回类型是类型变量或参数化类型，则创建它。否则将分析它。

从以下版本开始： 
1.5",Method,"GenericSignatureFormatError - 如果一般方法签名不符合 Java Virtual Machine Specification, 3rd edition 中指定的格式 
TypeNotPresentException - 如果基础方法的返回类型引用不存在的类型声明 
MalformedParameterizedTypeException - 如果基础方法的返回类型引用无论如何都无法实例化的参数化类型",
getParameterTypes,,public Class<?>[] getParameterTypes(),按照声明顺序返回 Class 对象的数组，这些对象描述了此 Method 对象所表示的方法的形参类型。如果基础方法不带参数，则返回长度为 0 的数组。 ,Method,,
getGenericParameterTypes,,public Type[] getGenericParameterTypes(),"按照声明顺序返回 Type 对象的数组，这些对象描述了此 Method 对象所表示的方法的形参类型的。如果基础方法不带参数，则返回长度为 0 的数组。 
如果形参类型是参数化类型，则为其返回的 Type 对象必须实际反映源代码中使用的实际类型参数。 

如果形参类型是类型变量或参数化类型，则创建它。否则将分析它。

从以下版本开始： 
1.5",Method,"GenericSignatureFormatError - 如果一般方法签名不符合 Java Virtual Machine Specification, 3rd edition 中指定的格式 
TypeNotPresentException - 如果基础方法的所有参数类型都引用不存在的类型声明 
MalformedParameterizedTypeException - 如果所有基础方法的参数类型引用无论",
getExceptionTypes,,public Class<?>[] getExceptionTypes(),返回 Class 对象的数组，这些对象描述了声明将此 Method 对象表示的基础方法抛出的异常类型。如果此方法没有在其 throws 子句中声明异常，则返回长度为 0 的数组。,Method,,
getGenericExceptionTypes,,public Type[] getGenericExceptionTypes(),"返回 Type 对象数组，这些对象描述了声明由此 Method 对象抛出的异常。如果基础方法没有在其 throws 子句中声明异常，则返回长度为 0 的数组。 
如果异常类型是参数化的类型，那么为它返回的 Type 对象必须实际反映源代码中所用参数的实际类型。 

如果异常类型是类型变量或参数化类型，则创建它。否则将分析它。

从以下版本开始： 
1.5",Method,"GenericSignatureFormatError - 如果一般方法签名不符合 Java Virtual Machine Specification, 3rd edition 中指定的格式 
TypeNotPresentException - 如果基础方法的 throws 子句引用不存在的类型声明 
MalformedParameterizedTypeException - 如果基础方法的 throws 子句引用无论如何都无法实例化的参数化类型",
equals,,public boolean equals(Object obj),"将此 Method 与指定对象进行比较。如果对象相同，则返回 true。如果它们由相同的类声明，具有相同的名称、形参类型和返回类型，则两个 Methods 相同。 

覆盖：
类 Object 中的 equals",Method,,
hashCode,,public int hashCode(),"返回此 Method 的哈希代码。哈希代码按基础方法的声明类名称和方法名称的哈希代码的异或计算。 

覆盖：
类 Object 中的 hashCode",Method,,
toString,,public String toString(),"返回描述此 Method 的字符串。该字符串被格式化为方法访问修饰符（如果有），后面依次跟着方法返回类型、空格、声明方法的类、句点、方法名、括号以及由逗号分隔的方法的形参类型列表。如果方法抛出检查异常，则参数列表后跟着空格、单词 throws 以及由逗号分隔的抛出异常类型的列表。例如： 
    public boolean java.lang.Object.equals(java.lang.Object)
 访问修饰符按照由 ""The Java Language Specification"" 指定的规范化顺序放置。首先是 public，protected 或 private，接着是按以下顺序的其他修饰符：abstract、static、final、synchronized native。 


覆盖：
类 Object 中的 toString",Method,,
toGenericString,,public String toGenericString(),"返回描述此 Method 的字符串，包括类型参数。该字符串被格式化为方法访问修饰符（如果有），依次后跟用尖括号括起来的由逗号分隔的方法类型参数列表（如果有）、方法的一般返回类型、空格、声明方法的类、句点、方法名、括号以及由逗号分隔的方法的一般形参类型列表。空格用于将访问修饰符和类型参数或返回类型互相分隔开。如果不存在类型参数，则类型参数列表会被省略；如果类型参数列表存在，则用空格将列表与类名分隔开。如果声明方法以抛出异常，则参数列表后跟空格、单词 throws 以及由逗号分隔开的抛出一般异常类型的列表。如果不存在类型参数，则类型参数列表会被省略。 
访问修饰符按照 ""The Java Language Specification"" 指定的规范化顺序放置。首先是 public，protected 或 private，接着是按以下顺序的其他修饰符：abstract、static、final、synchronized native。

从以下版本开始： 
1.5 ",Method,,
invoke,,"public Object invoke(Object obj, Object... args)","对带有指定参数的指定对象调用由此 Method 对象表示的基础方法。个别参数被自动解包，以便与基本形参相匹配，基本参数和引用参数都随需服从方法调用转换。 
如果基础方法是静态的，那么可以忽略指定的 obj 参数。该参数可以为 null。 

如果基础方法所需的形参数为 0，则所提供的 args 数组长度可以为 0 或 null。 

如果基础方法是实例方法，则使用动态方法查找来调用它，这一点记录在 Java Language Specification, Second Edition 的第 15.12.4.4 节中；在发生基于目标对象的运行时类型的重写时更应该这样做。 

如果基础方法是静态的，并且尚未初始化声明此方法的类，则会将其初始化。 

如果方法正常完成，则将该方法返回的值返回给调用方；如果该值为基本类型，则首先适当地将其包装在对象中。但是，如果该值的类型为一组基本类型，则数组元素不 被包装在对象中；换句话说，将返回基本类型的数组。如果基础方法返回类型为 void，则该调用返回 null。",Method,"IllegalAccessException - 如果此 Method 对象强制执行 Java 语言访问控制，并且基础方法是不可访问的。 
IllegalArgumentException - 如果该方法是实例方法，且指定对象参数不是声明基础方法的类或接口（或其中的子类或实现程序）的实例；如果实参和形参的数量不相同；如果基本参数的解包转换失败；或者如果在解包后，无法通过方法调用转换将参数值转换为相应的形参类型。 
InvocationTargetException - 如果基础方法抛出异常。 
NullPointerException - 如果指定对象为 null，且该方法是一个实例方法。 
ExceptionInInitializerError - 如果由此方法引起的初始化失败。",
isBridge,,public boolean isBridge(),"如果此方法是 bridge 方法，则返回 true；否则，返回 false。
从以下版本开始： 
1.5",Method,,
isVarArgs,,public boolean isVarArgs(),"如果将此方法声明为带有可变数量的参数，则返回 true；否则，返回 false。 

从以下版本开始： 
1.5",Method,,
isSynthetic,Member,public boolean isSynthetic(),"如果此方法为复合方法，则返回 true；否则，返回 false。 

从以下版本开始： 
1.5",Method,,
getAnnotation,AnnotatedElement,public <T extends Annotation> T getAnnotation(Class<T> annotationClass),"如果存在该元素的指定类型的注释，则返回这些注释，否则返回 null。
覆盖：
类 AccessibleObject 中的 getAnnotation",Method,,
getDeclaredAnnotations,AnnotatedElement,public Annotation[] getDeclaredAnnotations(),"返回直接存在于此元素上的所有注释。与此接口中的其他方法不同，该方法将忽略继承的注释。（如果没有注释直接存在于此元素上，则返回长度为零的一个数组。）该方法的调用方可以随意修改返回的数组；这不会对其他调用方返回的数组产生任何影响。
覆盖：
类 AccessibleObject 中的 getDeclaredAnnotations",Method,,
getDefaultValue,,public Object getDefaultValue(),"返回由此 Method 实例表示的注释成员的默认值。如果该成员为基本类型，则返回相应包装器类型的实例。如果不存在与该成员关联的默认值或者该成员实例不表示注释类型的声明成员，则返回 null。

从以下版本开始： 
1.5",Method,TypeNotPresentException - 如果注释类型是 Class 且找不到默认类值的定义。,
getParameterAnnotations,,public Annotation[][] getParameterAnnotations(),"返回表示按照声明顺序对此 Method 对象所表示方法的形参进行注释的那个数组的数组。（如果基础方法没有参数，则返回长度为零的数组。如果该方法有一个或多个参数，则为每个不带注释的参数返回长度为零的嵌套数组。）返回数组中包含的注释对象是可序列化的。此方法的调用方可以随意修改返回的数组；这不会对其他调用方返回的数组产生任何影响。

从以下版本开始： 
1.5",Method,,
MissingFormatArgumentException,,public MissingFormatArgumentException(String s),构造此类的带有不匹配的格式说明符的一个实例。 ,MissingFormatArgumentException,,
getFormatSpecifier,,public String getFormatSpecifier(),返回不匹配的格式说明符。 ,MissingFormatArgumentException,,
getMessage,,public String getMessage(),"返回此 throwable 的详细消息字符串。 

覆盖：
类 Throwable 中的 getMessage",MissingFormatArgumentException,,
MissingFormatWidthException,,public MissingFormatWidthException(String s),构造此类的带有指定格式说明符的实例。 ,MissingFormatWidthException,,
getFormatSpecifier,,public String getFormatSpecifier(),返回没有宽度的格式说明符。 ,MissingFormatWidthException,,
getMessage,,public String getMessage(),"返回此 throwable 的详细消息字符串。 

覆盖：
类 Throwable 中的 getMessage",MissingFormatWidthException,,
MissingResourceException,,"public MissingResourceException(String s,String className,String key)",构造带有指定信息的 MissingResourceException。详细消息是描述这个特定异常的字符串。 ,MissingResourceException,,
getClassName,,public String getClassName(),获得构造方法所传递的参数。 ,MissingResourceException,,
getKey,,public String getKey(),获得构造方法所传递的参数。 ,MissingResourceException,,
Modifier,,public Modifier(),构造方法,Modifier,,
isPublic,,public static boolean isPublic(int mod),如果整数参数包括 public 修饰符，则返回 true，否则返回 false。 ,Modifier,,
isPrivate,,public static boolean isPrivate(int mod),如果整数参数包括 private 修饰符，则返回 true，否则返回 false。 ,Modifier,,
isProtected,,public static boolean isProtected(int mod),如果整数参数包括 protected 修饰符，则返回 true，否则返回 false。 ,Modifier,,
isStatic,,public static boolean isStatic(int mod),如果整数参数包括 static 修饰符，则返回 true，否则返回 false。 ,Modifier,,
isFinal,,public static boolean isFinal(int mod),如果整数参数包括 final 修饰符，则返回 true，否则返回 false。 ,Modifier,,
isSynchronized,,public static boolean isSynchronized(int mod),如果整数参数包括 synchronized 修饰符，则返回 true，否则返回 false。 ,Modifier,,
isVolatile,,public static boolean isVolatile(int mod),如果整数参数包括 volatile 修饰符，则返回 true，否则返回 false。 ,Modifier,,
isTransient,,public static boolean isTransient(int mod),如果整数参数包括 transient 修饰符，则返回 true，否则返回 false。 ,Modifier,,
isNative,,public static boolean isNative(int mod),如果整数参数包括 native 修饰符，则返回 true，否则返回 false。 ,Modifier,,
isInterface,,public static boolean isInterface(int mod),如果整数参数包括 interface 修饰符，则返回 true，否则返回 false。 ,Modifier,,
isAbstract,,public static boolean isAbstract(int mod),如果整数参数包括 abstract 修饰符，则返回 true，否则返回 false。 ,Modifier,,
isStrict,,public static boolean isStrict(int mod),如果整数参数包括 strictfp 修饰符，则返回 true，否则返回 false。 ,Modifier,,
toString,,public static String toString(int mod),"返回描述指定修饰符中的访问修饰符标志的字符串。例如： 
    public final synchronized strictfp
 返回的修饰符名称的顺序与 The Java Language Specification, Second Edition 的§8.1.1、§8.3.1、§8.4.3、§8.8.3 和 §9.1.1 中给出的建议修饰符排序是一致的。此方法使用的完整修饰符排序是： 
public protected private abstract static final transient volatile synchronized native strictfp interface 
这个类中讨论的 interface 修饰符不是真正的 Java 语言修饰符，它将出现在此方法列出的其他所有修饰符的后面。此方法可能返回一个不是有效 Java 实体修饰符的修饰符；换句话说，它没有对该输入表示的可能有效的组合修饰符进行检查。",Modifier,,
NegativeArraySizeException,,public NegativeArraySizeException(),构造不带详细消息的 NegativeArraySizeException。 ,NegativeArraySizeException,,
NegativeArraySizeException,,public NegativeArraySizeException(String s),构造带指定详细消息的 NegativeArraySizeException。 ,NegativeArraySizeException,,
NoClassDefFoundError,,public NoClassDefFoundError(),构造不带详细消息的 NoClassDefFoundError。 ,NoClassDefFoundError,,
NoClassDefFoundError,,public NoClassDefFoundError(String s),构造带指定详细消息的 NoClassDefFoundError。 ,NoClassDefFoundError,,
NodeChangeEvent,,"public NodeChangeEvent(Preferences parent,Preferences child)",构造新的 NodeChangeEvent 实例。 ,NodeChangeEvent,,
getParent,,public Preferences getParent(),返回添加或移除节点的父节点。 ,NodeChangeEvent,,
getChild,,public Preferences getChild(),返回添加或移除的节点。 ,NodeChangeEvent,,
childAdded,,void childAdded(NodeChangeEvent evt),添加子节点时调用此方法。 ,NodeChangeListener,,
childRemoved,,void childRemoved(NodeChangeEvent evt),移除子节点时调用此方法。 ,NodeChangeListener,,
NoSuchElementException,,public NoSuchElementException(),构造一个 NoSuchElementException，用 null 作为其错误消息字符串。 ,NoSuchElementException,,
NoSuchElementException,,public NoSuchElementException(String s),构造一个 NoSuchElementException，保存对错误消息字符串 s 的引用，以便将来通过 getMessage 方法进行检索。 ,NoSuchElementException,,
NoSuchFieldError,,public NoSuchFieldError(),构造不带详细消息的 NoSuchFieldException。 ,NoSuchFieldError,,
NoSuchFieldError,,public NoSuchFieldError(String s),构造带指定详细消息的 NoSuchFieldException。 ,NoSuchFieldError,,
NoSuchFieldException,,public NoSuchFieldException(),构造方法。 ,NoSuchFieldException,,
NoSuchFieldException,,public NoSuchFieldException(String s),带有详细消息的构造方法。 ,NoSuchFieldException,,
NoSuchMethodError,,public NoSuchMethodError(),构造不带详细消息的 NoSuchMethodError。 ,NoSuchMethodError,,
NoSuchMethodError,,public NoSuchMethodError(String s),构造带指定详细消息的 NoSuchMethodError。 ,NoSuchMethodError,,
NoSuchMethodException,,public NoSuchMethodException(),构造不带详细消息的 NoSuchMethodException。 ,NoSuchMethodException,,
NoSuchMethodException,,public NoSuchMethodException(String s),构造带指定详细消息的 NoSuchMethodException。 ,NoSuchMethodException,,
NullPointerException,,public NullPointerException(),构造不带详细消息的 NullPointerException。 ,NullPointerException,,
NullPointerException,,public NullPointerException(String s),构造带指定详细消息的 NullPointerException。 ,NullPointerException,,
Number,,public Number(),构造方法,Number,,
intValue,,public abstract int intValue(),以 int 形式返回指定的数值。这可能会涉及到舍入或取整。 ,Number,,
longValue,,public abstract long longValue(),以 long 形式返回指定的数值。这可能涉及到舍入或取整。 ,Number,,
floatValue,,public abstract float floatValue(),以 float 形式返回指定的数值。这可能会涉及到舍入。 ,Number,,
doubleValue,,public abstract double doubleValue(),以 double 形式返回指定的数值。这可能会涉及到舍入。 ,Number,,
byteValue,,public byte byteValue(),"以 byte 形式返回指定的数值。这可能会涉及到舍入或取整。

从以下版本开始： 
JDK1.1 ",Number,,
shortValue,,public short shortValue(),"以 short 形式返回指定的数值。这可能会涉及到舍入或取整。 

从以下版本开始： 
JDK1.1",Number,,
NumberFormatException,,public NumberFormatException(),构造不带详细消息的 NumberFormatException。 ,NumberFormatException,,
NumberFormatException,,public NumberFormatException(String s),构造带指定详细消息的 NumberFormatException。 ,NumberFormatException,,
Object,,public Object(),构造方法,Object,,
getClass,,public final Class<? extends Object> getClass(),返回一个对象的运行时类。该 Class 对象是由所表示类的 static synchronized 方法锁定的对象。 ,Object,,
hashCode,,public int hashCode(),"返回该对象的哈希代码值。支持该方法是为哈希表提供一些优点，例如，java.util.Hashtable 提供的哈希表。 
hashCode 的常规协定是： 

·在 Java 应用程序执行期间，在同一对象上多次调用 hashCode 方法时，必须一致地返回相同的整数，前提是对象上 equals 比较中所用的信息没有被修改。从某一应用程序的一次执行到同一应用程序的另一次执行，该整数无需保持一致。 
·如果根据 equals(Object) 方法，两个对象是相等的，那么在两个对象中的每个对象上调用 hashCode 方法都必须生成相同的整数结果。 
·以下情况不 是必需的：如果根据 equals(java.lang.Object) 方法，两个对象不相等，那么在两个对象中的任一对象上调用 hashCode 方法必定会生成不同的整数结果。但是，程序员应该知道，为不相等的对象生成不同整数结果可以提高哈希表的性能。 
实际上，由 Object 类定义的 hashCode 方法确实会针对不同的对象返回不同的整数。（这一般是通过将该对象的内部地址转换成一个整数来实现的，但是 JavaTM 编程语言不需要这种实现技巧。）
",Object,,
equals,,public boolean equals(Object obj),"指示某个其他对象是否与此对象“相等”。 
equals 方法在非空对象引用上实现相等关系： 

·自反性：对于任何非空引用值 x，x.equals(x) 都应返回 true。 
·对称性：对于任何非空引用值 x 和 y，当且仅当 y.equals(x) 返回 true 时，x.equals(y) 才应返回 true。 
·传递性：对于任何非空引用值 x、y 和 z，如果 x.equals(y) 返回 true，并且 y.equals(z) 返回 true，那么 x.equals(z) 应返回 true。 
·一致性：对于任何非空引用值 x 和 y，多次调用 x.equals(y) 始终返回 true 或始终返回 false，前提是对象上 equals 比较中所用的信息没有被修改。 
·对于任何非空引用值 x，x.equals(null) 都应返回 false。 
Object 类的 equals 方法实现对象上差别可能性最大的相等关系；即，对于任何非空引用值 x 和 y，当且仅当 x 和 y 引用同一个对象时，此方法才返回 true（x == y 具有值 true）。 

注意：当此方法被重写时，通常有必要重写 hashCode 方法，以维护 hashCode 方法的常规协定，该协定声明相等对象必须具有相等的哈希代码。
",Object,,
clone,,protected Object clone(),"创建并返回此对象的一个副本。“副本”的准确含义可能依赖于对象的类。一般来说，对于任何对象 x，如果表达式： 
x.clone() != x是正确的，则表达式： 
x.clone().getClass() == x.getClass()将为 true，但这些不是绝对条件。一般情况下是： 
x.clone().equals(x)将为 true，但这不是绝对条件。 
按照惯例，返回的对象应该通过调用 super.clone 获得。如果一个类及其所有的超类（Object 除外）都遵守此约定，则 x.clone().getClass() == x.getClass()。 

按照惯例，此方法返回的对象应该独立于该对象（正被克隆的对象）。要获得此独立性，在 super.clone 返回对象之前，有必要对该对象的一个或多个字段进行修改。这通常意味着要复制包含正在被克隆对象的内部“深层结构”的所有可变对象，并使用对副本的引用替换对这些对象的引用。如果一个类只包含基本字段或对不变对象的引用，那么通常不需要修改 super.clone 返回的对象中的字段。 

Object 类的 clone 方法执行特定的克隆操作。首先，如果此对象的类不能实现接口 Cloneable，则会抛出 CloneNotSupportedException。注意：所有的数组都被视为实现接口 Cloneable。否则，此方法会创建此对象的类的一个新实例，并像通过分配那样，严格使用此对象相应字段的内容初始化该对象的所有字段；这些字段的内容没有被自我克隆。所以，此方法执行的是该对象的“浅表复制”，而不“深层复制”操作。 

Object 类本身不实现接口 Cloneable，所以在类为 Object 的对象上调用 clone 方法将会导致在运行时抛出异常。
",Object,CloneNotSupportedException - 如果对象的类不支持 Cloneable 接口，则重写 clone 方法的子类也会抛出此异常，以指示无法克隆某个实例。,
