名称,说明,库,声明,NOTE
strnicmp,不注重大小写地比较两个串,string.h,"int strnicmp(char *str1, char *str2, unsigned maxlen);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strnset,将一个串中的所有字符都设为指定字符,string.h,"char *strnset(char *str, char ch, unsigned n);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strpbrk,在串中查找给定字符集中的字符,string.h,"char *strpbrk(char *str1, char *str2);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strrchr,在串中查找指定字符的最后一个出现,string.h,"char *strrchr(char *str, char c);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strrev,字符串倒转,string.h,char *strrev(char *str);,C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strset,将一个串中的所有字符都设为指定字符,string.h,"char *strset(char *str, char c);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strspn,在串中查找指定字符集的子集的第一次出现,string.h,"int strspn(char *str1, char *str2);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strstr,在串中查找指定字符串的第一次出现,string.h,"char *strstr(char *str1, char *str2);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strtod,将字符串转换为double型值,stdlib.h,"double strtod(char *str, char **endptr);",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
strtok,查找由在第二个串中指定的分界符分隔开的单词,string.h,"char *strtok(char *str1, char *str2);",C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
strtol,将串转换为长整数,stdlib.h,"long strtol(char *str, char **endptr, int base);",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
strtoul,把参数 str 所指向的字符串转换为一个无符号长整数（类型为 unsigned long int 型）,stdlib.h,"unsigned long int strtoul(const char *str, char **endptr, int base)",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
strupr,将串中的小写字母转换为大写字母,string.h,char *strupr(char *str);,C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
swab,交换字节,,"void swab (char *from, char *to, int nbytes);",
system,发出一个DOS命令,stdlib.h,int system(char *command);,C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
tan,正切函数,math.h,double tan(double x);,C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
tanh,双曲正切函数,math.h,double tanh(double x);,C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
tell,取文件指针的当前位置,,long tell(int handle);,
textattr,设置文本属性,conio.h,void textattr(int attribute);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
textbackground,选择新的文本背景颜色,conio.h,void textbackground(int color);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
textcolor,在文本模式中选择新的字符颜色,conio.h,void textcolor(int color);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
textheight,返回以像素为单位的字符串高度,graphics.h,int far textheight(char far *textstring);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
textmode,将屏幕设置成文本模式,conio.h,void textmode(int mode);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
textwidth,返回以像素为单位的字符串宽度,graphics.h,int far textwidth(char far *textstring);,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
time,取一天的时间,time.h,logn time(long *tloc);,time.h 头文件定义了四个变量类型、两个宏和各种操作日期和时间的函数
tmpfile ,以二进制方式打开暂存文件,stdio.h,FILE *tmpfile(void);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
tmpnam,创建一个唯一的文件名,stdio.h,char *tmpnam(char *sptr);,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
tolower,把字符转换成小写字母,ctype.h,int tolower(int c);,C 标准库的 ctype.h 头文件提供了一些函数，可用于测试和映射字符。这些函数接受 int 作为参数，它的值必须是 EOF 或表示为一个无符号字符。如果参数 c 满足描述的条件，则这些函数返回非零（true）。如果参数 c 不满足描述的条件，则这些函数返回零。
toupper,把字符转换成大写字母,ctype.h,int toupper(int c);,C 标准库的 ctype.h 头文件提供了一些函数，可用于测试和映射字符。这些函数接受 int 作为参数，它的值必须是 EOF 或表示为一个无符号字符。如果参数 c 满足描述的条件，则这些函数返回非零（true）。如果参数 c 不满足描述的条件，则这些函数返回零。
tzset,UNIX时间兼容函数,time.h,void tzset(void);,C 标准库的 time.h 头文件定义了四个变量类型、两个宏和各种操作日期和时间的函数。
ultoa,转换一个无符号长整型数为字符串,stdlib.h,"char *ultoa(unsigned long value, char *string, int radix);",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
ungetc,把一个字符退回到输入流中,stdio.h,"int ungetc(char c, FILE *stream);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
ungetch,把一个字符退回到键盘缓冲区中,,int ungetch(int c);,
unixtodos,把日期和时间转换成DOS格式,dos.h,"void unixtodos(long utime, struct date *dateptr, struct time *timeptr); ",dos.h 里面包含了很多BIOS和DOS调用函数
unlink,删掉一个文件,dos.h,int unlink(char *filename);,dos.h 里面包含了很多BIOS和DOS调用函数
unlock,解除文件共享锁,,"int unlock(int handle, long offset, long length);",
vfprintf,送格式化输出到一流中,stdio.h,"int vfprintf(FILE *stream, char *format, va_list param);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
vfscanf,从流中执行格式化输入,stdio.h,"int vfscanf(FILE *stream, char *format, va_list param);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
vprintf,送格式化输出到stdout中,stdio.h,"int vprintf(char *format, va_list param);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
vscanf,从stdin中执行格式化输入,stdio.h,"int vscanf(char *format, va_list param);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
vsprintf,送格式化输出到串中,stdio.h,"int vsprintf(char *string, char *format, va_list param);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
vsscanf,从流中执行格式化输入,stdio.h,"int vsscanf(char *s, char *format, va_list param);",C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
wcstombs,把数组 pwcs 中存储的编码转换为多字节字符，并把它们存储在字符串 str 中,stdlib.h,"size_t wcstombs(char *str, const wchar_t *pwcs, size_t n)",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
wctomb,检查对应于参数 wchar 所给出的多字节字符的编码,stdlib.h,"int wctomb(char *str, wchar_t wchar)",C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
wherex,返回窗口内水平光标位置,conio.h,int wherex(void);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
wherey ,返回窗口内垂直光标位置,conio.h,int wherey(void);,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
window,定义活动文本模式窗口,conio.h,"void window(int left, int top, int right, int bottom);",conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
write,写到一文件中,unistd.h,"int write(int handel, void *buf, int nbyte);",unistd.h 是 C 和 C++ 程序设计语言中提供对 POSIX 操作系统 API 的访问功能的头文件的名称。
assert.h,,,,C 标准库的 assert.h头文件提供了一个名为 assert 的宏，它可用于验证程序做出的假设，并在假设为假时输出诊断消息。已定义的宏 assert 指向另一个宏 NDEBUG，宏 NDEBUG 不是 <assert.h> 的一部分。如果已在引用 <assert.h> 的源文件中定义 NDEBUG 为宏名称，则 assert 宏的定义如下：#define assert(ignore) ((void)0)
ctype.h ,,,,C 标准库的 ctype.h 头文件提供了一些函数，可用于测试和映射字符。这些函数接受 int 作为参数，它的值必须是 EOF 或表示为一个无符号字符。如果参数 c 满足描述的条件，则这些函数返回非零（true）。如果参数 c 不满足描述的条件，则这些函数返回零。
errno.h,,,,C 标准库的 errno.h 头文件定义了整数变量 errno，它是通过系统调用设置的，在错误事件中的某些库函数表明了什么发生了错误。该宏扩展为类型为 int 的可更改的左值，因此它可以被一个程序读取和修改。在程序启动时，errno 设置为零，C 标准库中的特定函数修改它的值为一些非零值以表示某些类型的错误。您也可以在适当的时候修改它的值或重置为零。errno.h 头文件也顶了以一系列表示不同错误代码的宏，这些宏应扩展为类型为 int 的整数常量表达式。
float.h,,,,C 标准库的 float.h 头文件包含了一组与浮点值相关的依赖于平台的常量。这些常量是由 ANSI C 提出的，这让程序更具有可移植性
limits.h,,,,C 标准库的 limits.h 头文件决定了各种变量类型的各种属性。定义在该头文件中的宏限制了各种变量类型（比如 char、int 和 long）的值。这些限制指定了变量不能存储任何超出这些限制的值，例如一个无符号可以存储的最大值是 255。
locale.h,,,,C 标准库的 locale.h 头文件定义了特定地域的设置，比如日期格式和货币符号。接下来我们将介绍一些宏，以及一个重要的结构 struct lconv 和两个重要的函数。
math.h,,,,C 标准库的 math.h 头文件定义了各种数学函数和一个宏。在这个库中所有可用的功能都带有一个 double 类型的参数，且都返回 double 类型的结果。
setjmp.h,,,,C 标准库的 setjmp.h 头文件定义了宏 setjmp()、函数 longjmp() 和变量类型 jmp_buf，该变量类型会绕过正常的函数调用和返回规则。
signal.h,,,,C 标准库的 signal.h 头文件定义了一个变量类型 sig_atomic_t、两个函数调用和一些宏来处理程序执行期间报告的不同信号。
stdarg.h,,,,"C 标准库的 stdarg.h 头文件定义了一个变量类型 va_list 和三个宏，这三个宏可用于在参数个数未知（即参数个数可变）时获取函数中的参数。可变参数的函数通在参数列表的末尾是使用省略号(,...)定义的。"
stddef.h,,,,C 标准库的 stddef .h 头文件定义了各种变量类型和宏。这些定义中的大部分也出现在其它头文件中。
stdio.h,,,,C 标准库的 stdio .h 头文件定义了三个变量类型、一些宏和各种函数来执行输入和输出。
stdlib.h,,,,C 标准库的 stdlib .h 头文件定义了四个变量类型、一些宏和各种通用工具函数。
string.h,,,,C 标准库的 string .h 头文件定义了一个变量类型、一个宏和各种操作字符数组的函数。
time.h,,,,C 标准库的 time.h 头文件定义了四个变量类型、两个宏和各种操作日期和时间的函数。
graphics.h,,,,graphics.h 是TC里面的图形库，如果要用的话应该用TC来编译
dos.h,,,,dos.h 里面包含了很多BIOS和DOS调用函数
alloc.h,,,,"alloc.h 含的内容 同编译器有关, 如果调用, 动态分配函数. "
bios.h,,,,bios.h TC库
conio.h,,,,conio是Console Input/Output（控制台输入输出）的简写，其中定义了通过控制台进行数据输入和数据输出的函数，主要是一些用户通过按键盘产生的对应操作
unistd.h,,,,unistd.h 是 C 和 C++ 程序设计语言中提供对 POSIX 操作系统 API 的访问功能的头文件的名称。
fcntl.h,,,,fcntl.h 用来避免一些系统安全问题。
dir.h,,,,dir.h 是linux系统上的头文件
process.h,,,,process.h 是包含用于和宏指令的作用声明和过程一起使用的C标头文件
mem.h,,,,mem.h 这个库函数中的函数主要是针对字符串进行的
io.h,,,,io.h 中定义了一些函数和常量
